Turn;level;correctResponse;nResponses;ISI;reactionTime;blueFailOut;blueFailMiss;dot;blueResponse1;blueResponse2;blueResponse3;blueResponse4
0;Level 2 b;0;3;2000;5,00025;0;3;1;2,001381;2,003535;2,000751;0
1;Level 2 b;0;3;2000;5,003445;0;6;1;2,001156;2,000012;2,001205;0
2;Level 2 b;0;3;15000;5,000771;0;1,;1;2,001808;2,001563;2,002742;2,000976
3;Level 2 b;0;3;2000;5,001534;0;1,;1;2,002551;2,001822;2,003194;0
4;Level 2 b;0;3;2000;5,002403;0;1,;1;2,002051;2,0026;0;0
5;Level 2 b;0;3;2000;5,002716;0;1,;1;2,000122;2,001356;0;0
6;Level 2 b;0;3;15000;5,002502;0;2,;1;2,001553;2,001424;2,001464;0
7;Level 2 b;0;3;15000;5,000793;0;2,;1;2,002777;2,002244;2,002198;2,001648
