Turn;level;correctResponse;nResponses;ISI;reactionTime;blueFailOut;blueFailMiss;dot;blueResponse1;blueResponse2;blueResponse3;blueResponse4
0;Level 2 b;0;3;2000;5,00145;0;3;1;2,001148;2,003206;2,001858;0
1;Level 2 b;0;3;15000;5,001144;0;6;1;2,000814;2,000434;2,001049;0
2;Level 2 b;0;3;2000;5,001862;0;9;1;2,000817;2,002811;2,001236;0
3;Level 2 b;0;3;15000;5,000488;0;1,;1;2,000285;2,000399;2,002837;2,002893
4;Level 2 b;0;3;15000;5,003052;0;1,;1;2,000763;2,000196;2,002417;0
5;Level 2 b;0;3;15000;5,003174;0;1,;1;2,000221;2,002771;2,001038;0
6;Level 2 b;0;3;15000;5,003174;0;2,;1;2,002031;2,001513;2,000408;0
